time,timestamp,CPU %,Memory GB,GPU utilization %,DiskIO %,process CPU %,process Memory GB,GPU memory GB,CPU power,GPU power,Battery %,com.lenovo.quantum.exe,com.lenovo.quantum.exe,mcpMgmtService.exe,mcpMgmtService.exe,lenovo.pfm.pipe.exe
2025-12-15 17:20:18,1765790418582,21.4,17.81,56.0,84.0,3.08,4.02,2.46,0.0,24.0,95,16.34,1600.87,16.45,114.4,2363.52
2025-12-15 17:20:37,1765790437827,27.8,21.67,4.0,83.9,2.61,4.01,2.48,0.0,10.0,95,16.34,1602.48,16.45,107.58,2363.97
2025-12-15 17:20:57,1765790457296,23.7,21.55,2.0,83.9,11.01,4.02,2.47,0.0,10.0,95,16.34,1613.44,16.45,107.79,2364.86
2025-12-15 17:21:16,1765790476777,26.9,21.83,75.0,83.9,0.55,4.03,2.51,0.0,34.0,95,16.71,1616.48,16.89,107.97,2365.21
2025-12-15 17:21:36,1765790496120,16.0,21.8,2.0,83.9,0.3,4.03,2.45,0.0,10.0,95,16.71,1616.27,16.89,108.09,2365.21
2025-12-15 17:21:55,1765790515397,21.4,21.81,0.0,83.9,5.78,4.03,2.45,0.0,9.0,95,16.71,1616.35,16.89,108.29,2363.36
2025-12-15 17:22:14,1765790534735,22.9,21.04,76.0,83.9,0.0,4.02,2.49,0.0,35.0,95,16.71,1620.13,16.89,108.35,2353.89
2025-12-15 17:22:34,1765790554031,23.5,21.06,6.0,83.9,0.15,4.02,2.5,0.0,12.0,95,16.71,1620.14,16.89,108.51,2353.87
