time,timestamp,CPU %,Memory GB,GPU utilization %,DiskIO %,process CPU %,process Memory GB,GPU memory GB,CPU power,GPU power,Battery %,com.lenovo.quantum.exe,com.lenovo.quantum.exe,mcpMgmtService.exe,mcpMgmtService.exe,lenovo.pfm.pipe.exe
2025-12-15 16:48:34,1765788514157,15.7,15.95,94.0,83.9,5.62,3.91,2.51,0.0,35.0,95,16.39,1453.12,16.68,148.5,2364.79
2025-12-15 16:48:53,1765788533530,36.7,20.48,4.0,83.9,8.74,3.91,2.42,0.0,9.0,95,16.39,1461.19,16.68,148.61,2364.82
2025-12-15 16:49:13,1765788553012,34.3,20.58,78.0,83.9,5.94,3.91,2.42,0.0,41.0,95,16.39,1461.79,16.68,148.72,2362.52
2025-12-15 16:49:32,1765788572613,30.4,22.21,0.0,83.9,0.15,3.92,2.42,0.0,21.0,95,16.39,1466.68,16.68,148.81,2364.82
